Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_9_Right_9,VPWR,li1,38.4100,35.3600,1.799964
PHY_EDGE_ROW_8_Right_8,VPWR,li1,38.4100,35.3600,1.799964
PHY_EDGE_ROW_7_Right_7,VPWR,li1,38.4100,29.9200,1.799994
PHY_EDGE_ROW_6_Right_6,VPWR,li1,38.4100,29.9200,1.799994
PHY_EDGE_ROW_5_Right_5,VPWR,li1,38.4100,24.4800,1.800000
PHY_EDGE_ROW_4_Right_4,VPWR,li1,38.4100,24.4800,1.800000
PHY_EDGE_ROW_3_Right_3,VPWR,li1,38.4100,19.0400,1.799998
PHY_EDGE_ROW_2_Right_2,VPWR,li1,38.4100,19.0400,1.799998
PHY_EDGE_ROW_1_Right_1,VPWR,li1,38.4100,13.6000,1.799998
PHY_EDGE_ROW_0_Right_0,VPWR,li1,38.4100,13.6000,1.799998
dc_inst.x9,VPWR,li1,14.4900,29.9200,1.799994
dc_inst.x8,VPWR,li1,24.1500,29.9200,1.799995
dc_inst.x7.x9,VPWR,li1,8.0500,29.9200,1.799994
dc_inst.x7.x8,VPWR,li1,8.5100,24.4800,1.800000
dc_inst.x7.x7,VPWR,li1,9.8900,24.4800,1.800000
dc_inst.x7.x6,VPWR,li1,11.2700,24.4800,1.800000
dc_inst.x7.x5,VPWR,li1,14.0300,29.9200,1.799994
dc_inst.x7.x4,VPWR,li1,12.6500,29.9200,1.799994
dc_inst.x7.x3,VPWR,li1,25.0700,35.3600,1.799964
dc_inst.x7.x20,VPWR,li1,17.7100,35.3600,1.799953
dc_inst.x7.x2,VPWR,li1,16.3300,35.3600,1.799953
dc_inst.x7.x19,VPWR,li1,9.4300,35.3600,1.799938
dc_inst.x7.x18,VPWR,li1,14.9500,35.3600,1.799945
dc_inst.x7.x17,VPWR,li1,13.5700,35.3600,1.799945
dc_inst.x7.x16,VPWR,li1,12.1900,35.3600,1.799938
dc_inst.x7.x15,VPWR,li1,10.8100,35.3600,1.799938
dc_inst.x7.x14,VPWR,li1,8.0500,35.3600,1.799938
dc_inst.x7.x13,VPWR,li1,8.0500,29.9200,1.799994
dc_inst.x7.x12,VPWR,li1,8.0500,40.8000,1.799881
dc_inst.x7.x11,VPWR,li1,8.5100,40.8000,1.799881
dc_inst.x7.x10,VPWR,li1,11.2700,29.9200,1.799994
dc_inst.x7.x1,VPWR,li1,13.5700,24.4800,1.800000
dc_inst.x6.x9,VPWR,li1,12.1900,19.0400,1.799999
dc_inst.x6.x8,VPWR,li1,10.8100,19.0400,1.799999
dc_inst.x6.x7,VPWR,li1,10.8100,19.0400,1.799999
dc_inst.x6.x6,VPWR,li1,12.1900,13.6000,1.799999
dc_inst.x6.x5,VPWR,li1,13.1100,24.4800,1.800000
dc_inst.x6.x4,VPWR,li1,11.7300,24.4800,1.800000
dc_inst.x6.x3,VPWR,li1,10.3500,24.4800,1.800000
dc_inst.x6.x20,VPWR,li1,15.6400,29.9200,1.799994
dc_inst.x6.x2,VPWR,li1,8.0500,24.4800,1.800000
