net,length_um
_003_,2.84µm
_016_,2.84µm
_060_,2.76µm
_044_,2.74µm
_006_,2.69µm
_008_,2.69µm
_010_,2.69µm
_018_,2.69µm
_019_,2.69µm
_028_,2.69µm
_033_,2.69µm
_048_,2.69µm
_075_,2.64µm
_099_,2.64µm
_013_,2.62µm
_056_,2.62µm
_023_,2.38µm
clknet_0_clk,2.28µm
_004_,2.23µm
_007_,2.23µm
_011_,2.23µm
_012_,2.23µm
_020_,2.23µm
_029_,2.23µm
_030_,2.23µm
_034_,2.23µm
_042_,2.23µm
_043_,2.23µm
_045_,2.23µm
_049_,2.23µm
_063_,2.16µm
_052_,1.84µm
_009_,1.82µm
_027_,1.82µm
_032_,1.82µm
_036_,1.82µm
_037_,1.82µm
_039_,1.82µm
_040_,1.82µm
_041_,1.82µm
_047_,1.82µm
_022_,1.7µm
_103_,1.7µm
_024_,1.36µm
_025_,1.36µm
_026_,1.36µm
